,customer_id
2097,1a709b46-b061-11e9-9757-000d3a38a36f
2107,1a8755bc-ae94-11e9-a2fc-000d3a38a36f
2140,1aea3726-f88c-11e9-b138-000d3a38a36f
2143,1af94fea-a5cb-11e9-a2fc-000d3a38a36f
2153,1b1246b4-a81c-11e9-a2fc-000d3a38a36f
2156,1b18df82-db11-11ea-83c6-000d3a38a36f
2162,1b2c27ea-a507-11e9-a2fc-000d3a38a36f
2163,1b2ed0b8-9f75-11e9-a2fc-000d3a38a36f
2170,1b454a88-a131-11e9-a2fc-000d3a38a36f
2181,1b62bc84-a47f-11e9-a2fc-000d3a38a36f
2196,1b931e60-a02d-11ea-9d0a-000d3a38a36f
2228,1bf7b914-af2a-11e9-a2fc-000d3a38a36f
2232,1c0561b0-af73-11e9-a2fc-000d3a38a36f
2243,1c2c48ea-f422-11e9-9346-000d3a38a36f
2266,1c7aecee-ede6-11e9-88c1-000d3a38a36f
2282,1c955302-b0d5-11e9-9757-000d3a38a36f
2294,1cbaf6ee-a800-11e9-a2fc-000d3a38a36f
2320,1cf56906-51aa-11ea-a243-000d3a38a36f
2324,1d033d3a-b090-11e9-9757-000d3a38a36f
2342,1d4daa28-b216-11e9-89fa-000d3a38a36f
2356,1d84198c-6bed-11ea-8792-000d3a38a36f
2358,1d896964-97df-11ea-9d91-000d3a38a36f
2361,1d955a66-a763-11e9-a2fc-000d3a38a36f
2363,1d97a6e2-a9c3-11e9-a2fc-000d3a38a36f
2368,1db10014-a51e-11e9-a2fc-000d3a38a36f
2374,1dd2a8a4-1efe-11ea-81ff-000d3a38a36f
2398,1e196dac-97d5-11ea-9d91-000d3a38a36f
2400,1e1e9600-a821-11e9-a2fc-000d3a38a36f
2432,1ea06886-b00c-11e9-9757-000d3a38a36f
2454,1eedb9c2-afc8-11e9-9757-000d3a38a36f
2462,1f01d4ec-3a1a-11eb-a48e-000d3a38a36f
2466,1f15a1cc-a56d-11e9-a2fc-000d3a38a36f
2475,1f448fe8-9d4e-11eb-9c47-000d3a38a36f
2496,1f8288c4-a9fe-11e9-a2fc-000d3a38a36f
2543,20049a86-5682-11ea-b9b9-000d3a38a36f
2575,20562140-22ec-11ea-8523-000d3a38a36f
2583,20673a4e-2ba1-11ea-853d-000d3a38a36f
2605,20a807ca-1d89-11ea-a490-000d3a38a36f
2615,20bfa842-2ad3-11ea-9d27-000d3a38a36f
2618,20c4565e-aa03-11e9-a2fc-000d3a38a36f
2637,20ffcbc2-f679-11e9-841e-000d3a38a36f
2645,21231ab8-b16f-11e9-89fa-000d3a38a36f
2660,215e3162-565a-11ea-b9b9-000d3a38a36f
2663,2162cf82-5b0b-11ea-b73b-000d3a38a36f
2677,218c0faa-a9a9-11e9-a2fc-000d3a38a36f
2696,21bed6aa-9d6b-11e9-9897-000d3a38a36f
2707,21e19c8e-a5a5-11e9-a2fc-000d3a38a36f
2718,2220cb56-b1a4-11e9-89fa-000d3a38a36f
2760,22a100d2-ab3c-11e9-a2fc-000d3a38a36f
2768,22d2758e-a463-11e9-a2fc-000d3a38a36f
2798,233e3162-d667-11e9-93bc-000d3a38a36f
2800,23447b7c-5b4f-11ea-8c16-000d3a38a36f
2806,234cbe70-ae86-11e9-a2fc-000d3a38a36f
2812,2363d892-f4e6-11ea-a533-000d3a38a36f
2824,238dfd14-7383-11ea-92d0-000d3a38a36f
2828,23a01d76-3ec3-11eb-806e-000d3a38a36f
2872,241cfda0-a0c7-11e9-a2fc-000d3a38a36f
2880,2447122a-abd0-11e9-a2fc-000d3a38a36f
2903,24908e2e-b07a-11e9-9757-000d3a38a36f
2913,24b35198-5b4c-11ea-9b73-000d3a38a36f
2929,24de1a42-b10e-11e9-9757-000d3a38a36f
2983,259e7756-b028-11e9-9757-000d3a38a36f
3013,260ac564-9d36-11e9-9897-000d3a38a36f
3018,261dcf14-5b05-11ea-865b-000d3a38a36f
3019,261e90f0-5bcf-11ea-841d-000d3a38a36f
3033,265c07b4-51ca-11ea-a243-000d3a38a36f
3039,2660d55a-ae5a-11e9-a2fc-000d3a38a36f
3042,2667cd84-98cd-11ea-b97a-000d3a38a36f
3047,2671de2e-2b4e-11ea-9d27-000d3a38a36f
3062,26b98662-3c55-11ea-b550-000d3a38a36f
3085,26ea9bb0-a756-11e9-a2fc-000d3a38a36f
3088,26f4a60c-bd24-11ea-aa61-000d3a38a36f
